Applicant_Client_ID,Emphasis Area,Emphasis Area 2,Emphasis Area 3,UU_APPL_CITIZEN,CTZNSHP,AGE,SEX,LOW_INCOME,UU_FIRSTGEN,UU_APPL_NTV_LANG,HAS_LANGUAGE_TEST,TEST_READ,TEST_SPEAK,TEST_WRITE,TEST_LISTEN,MAJOR,GPA,NUM_PREV_INSTS,HAS_GRE_GEN,GRE_VERB,GRE_QUANT,GRE_AW,HAS_GRE_SUBJECT,GRE_SUB,NUM_RECOMMENDS,R_AVG_ORAL,R_AVG_WRITTEN,R_AVG_ACADEMIC,R_AVG_KNOWLEDGE,R_AVG_EMOT,R_AVG_MOT,R_AVG_RES,R_AVG_RATING,RATING,DECISION
3954745,Mathematical Biology,Numerical Analysis,Statistics,No,CHINA,21,Female,Not Sure,Unspecified,Simplified Chinese,Yes,21,17,14,14,Pure Mathematics,3.49,1,Yes,148,163,3,No,,3,13.3,5,8.3,6.7,6.7,13.3,1.7,15,4.4,Waitlist
3954793,Commutative Algebra,Algebraic Geometry,Number Theory,No,INDIA,22.5,Male,Not Sure,Unspecified,Other,Yes,24,22,26,27,Mathematics,0,2,Yes,156,161,3,Yes,790,3,16.7,16.7,16.7,20,20,20,20,30,3.67,Reject
3954845,Undecided,0,0,Yes,UNITED STATES,21.5,Male,No,Unspecified,English,No,,,,,Mathematics,3.18,1,Yes,162,164,4.5,Yes,720,3,10,16.7,20,20,20,20,16.7,30,4.3,Reject
3954878,Geometry/Topology,Algebraic Geometry,Representation Theory,Yes,UNITED STATES,26.4,Male,Not Sure,Unspecified,English,No,,,,,Mathematics,3.61,3,Yes,,,,No,,3,16.7,16.7,20,20,20,20,20,26.7,2.75,Reject
3954923,Algebraic Geometry,Number Theory,Geometry/Topology,No,INDIA,22.9,Male,Not Sure,Unspecified,Other,Yes,28,22,28,30,Mathematics,3.34,2,Yes,151,167,3,Yes,810,2,20,15,15,12.5,15,20,15,25,4.75,Waitlist
3954929,Mathematical Biology,Applied Mathematics,Differential Equations,No,KOREA REPUBLIC OF,26.4,Female,No,Unspecified,Korean,No,,,,,Mathematics,3.35,3,Yes,149,161,4,Yes,540,3,10,13.3,13.3,16.7,16.7,20,13.3,18.3,4.83,Waitlist
3954971,Algebraic Geometry,Geometry/Topology,Number Theory,No,CHINA,21.7,Male,Unspecified,Unspecified,Other,Yes,28,23,25,28,Mathematics,3.95,1,Yes,155,170,3.5,Yes,680,3,5,6.7,13.3,13.3,13.3,13.3,6.7,23.3,4.33,Admit
3955030,Algebraic Geometry,Commutative Algebra,0,No,INDIA,21.1,Male,Unspecified,Unspecified,Other,Yes,28,27,25,28,Mathematics,3.47,1,Yes,155,170,3.5,Yes,830,3,13.3,6.7,13.3,16.7,13.3,16.7,13.3,18.3,2,Reject
3955063,Algebraic Geometry,Number Theory,Numerical Analysis,No,CHINA,27.4,Male,Not Sure,Unspecified,Simplified Chinese,Yes,27,23,22,24,Mathematics,2.7,2,Yes,146,166,3,Yes,760,3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,20,4.67,Admit
3955064,Mathematical Biology,Applied Mathematics,Materials and Fluids,Yes,UNITED STATES,22.8,Female,No,Unspecified,English,No,,,,,Mathematics,3.58,2,Yes,158,160,5,No,,3,20,16.7,13.3,16.7,16.7,16.7,11.7,20,4.1,Waitlist
3955068,Algebraic Geometry,Representation Theory,Commutative Algebra,Yes,UNITED STATES,28.2,Male,No,Unspecified,English,No,,,,,Mathematics,3.07,3,Yes,164,160,4.5,Yes,640,3,13.3,20,16.7,13.3,20,20,10,23.3,4.2,Waitlist
3955072,Statistics,Probability,Applied Mathematics,No,CHINA,22,Male,Not Sure,Unspecified,Simplified Chinese,Yes,25,23,27,25,Mathematics,3.6,3,Yes,151,169,3.5,Yes,720,3,15,10,16.7,16.7,16.7,20,13.3,20,2.5,Reject
3955136,Commutative Algebra,Geometry/Topology,Representation Theory,Yes,UNITED STATES,21.4,Male,No,Unspecified,English,No,,,,,Mathematics,3.69,1,Yes,155,165,4.5,Yes,710,3,10,10,10,10,13.3,16.7,3.3,20,4.5,Admit
3955167,Commutative Algebra,Representation Theory,Algebraic Geometry,Yes,UNITED STATES,25.5,Male,Unspecified,Unspecified,English,No,,,,,Mathematics,3.71,2,No,,,,No,,3,13.3,13.3,20,20,16.7,20,13.3,23.3,2.75,Reject
3955218,Algebraic Geometry,Geometry/Topology,Commutative Algebra,No,INDIA,30,Female,Not Sure,Unspecified,Other,Yes,18,28,25,26,Mathematics,4,4,Yes,137,166,3,Yes,650,3,6.7,6.7,16.7,16.7,6.7,10,6.7,23.3,4.83,Waitlist
3955267,Differential Equations,Applied Mathematics,Probability,Yes,UNITED STATES,38.4,Male,No,Unspecified,English,No,,,,,Mathematics,3.42,3,Yes,157,167,4,Yes,620,3,16.7,16.7,16.7,16.7,20,20,13.3,23.3,2.5,Reject
3955407,Commutative Algebra,Number Theory,Algebraic Geometry,Yes,UNITED STATES,22,Male,No,Unspecified,English,No,,,,,Mathematics,3.67,1,Yes,,,,Yes,810,3,13.3,13.3,13.3,10,10,13.3,6.7,21.7,4.33,Admit
